"","state","county","cz","czname","hhinc_mean2000","mean_commutetime2000","frac_coll_plus2000","frac_coll_plus2010","foreign_share2010","med_hhinc1990","med_hhinc2016","poor_share2010","poor_share2000","poor_share1990","share_white2010","share_black2010","share_hisp2010","share_asian2010","share_black2000","share_white2000","share_hisp2000","share_asian2000","gsmn_math_g3_2013","rent_twobed2015","singleparent_share2010","singleparent_share1990","singleparent_share2000","traveltime15_2010","emp2000","mail_return_rate2010","ln_wage_growth_hs_grad","popdensity2010","popdensity2000","ann_avg_job_growth_2004_2013","job_density_2013","county_name","district","split","X","County.18.","Clinton.percentage","Clinton.Votes","Trump.percentage","Trump.Votes","Johnson.percentage","Johnson.Votes","Write.in.percentage","Write.in.Votes","Stein.percentage","Stein.Votes","Totals","Republican.percentage"
"31",37,59,401,"Winston-Salem",78110.609,25.459724,0.17890194,0.23533635,0.044296172,30832.5115624012,53887.2527400582,0.12031667,0.084118098,0.082393043,0.85492241,0.069762364,0.060523763,0.0048739091,0.06910228,0.88707054,0.034103379,0.0024936062,3.8921065,648.63123,0.22437225,0.15535671,0.21639635,0.27147853,0.62241644,82.752701,0.040277489,156.14943,131.8978,0.00033152325,69.911324,"Davie",13,"",59,"Davie",0.2422," 5,270.0000 ",0.7171," 15,602.0000 ",0.029," 631.0000 ",0.0095," 206.0000 "," 0.0022 "," 47.0000 "," 21,756.00 ",0.243430236086666
"32",37,61,1800,"Goldsboro",56102.113,27.137758,0.10388476,0.10101207,0.1262237,19862.4637728292,35464.7245876421,0.2363424,0.19332865,0.18681893,0.52916843,0.25496966,0.20611914,0.0025296984,0.28338507,0.55449599,0.15603937,0.0013625216,3.2362685,534.98822,0.38090473,0.21708803,0.3005861,0.35230413,0.57709521,76.764931,NA,71.677979,60.113926,0.0064684935,29.815491,"Duplin",3,"",61,"Duplin",0.3972," 8,283.0000 ",0.5858," 12,217.0000 ",0.0125," 260.0000 ",0.0041," 85.0000 "," 0.0005 "," 11.0000 "," 20,845.00 ",0.610992058489852
"33",37,63,1701,"Raleigh",81987.055,22.554853,0.41539466,0.41728339,0.14043052,34430.0555373843,57242.5281280822,0.1702792,0.12670186,0.1059745,0.42116022,0.38599408,0.13482344,0.036033388,0.37743464,0.50490594,0.069268331,0.033435039,2.8028383,912.75958,0.39113095,0.26980934,0.35106781,0.29459792,0.6598196,77.573914,0.043875758,935.70068,780.88641,0.01602249,492.8158,"Durham",4,"",63,"Durham",0.7767," 121,166.0000 ",0.1815," 28,314.0000 ",0.0256," 3,995.0000 ",0.0128," 1,996.0000 "," 0.0034 "," 535.0000 "," 156,006.00 ",0.815631026646265
"34",37,65,1600,"Wilson",56366.75,22.245684,0.08363197,0.10249464,0.022289731,22568.2836385459,33887.7880534729,0.21954708,0.18887599,0.19891408,0.37770545,0.57761002,0.037204698,0.0017682841,0.56153435,0.40721312,0.026809188,0.0013230626,2.6002896,574.50726,0.48471951,0.3228406,0.41318271,0.38767999,0.54207134,81.378334,-0.039772648,111.9097,110.03767,-0.0078770835,41.257698,"Edgecombe",1,"",65,"Edgecombe",0.6519," 16,224.0000 ",0.332," 8,261.0000 ",0.0114," 284.0000 ",0.0043," 106.0000 "," 0.0004 "," 11.0000 "," 24,886.00 ",0.805662100456621
"35",37,67,401,"Winston-Salem",80788.719,22.403002,0.28009894,0.30625629,0.088334657,32929.6923880824,51025.0642969173,0.15568399,0.10745753,0.096561097,0.5872587,0.26485869,0.1191291,0.015609785,0.24345958,0.67392558,0.063425779,0.0094373645,3.5147295,727.06824,0.37660408,0.25205928,0.32340801,0.31939802,0.63386452,79.809242,-0.005471136,859.17151,749.89148,0.0044379127,401.98065,"Forsyth-a",6,"y",67,"Forsyth",0.5298," 94,185.0000 ",0.4261," 75,751.0000 ",0.0301," 5,358.0000 ",0.014," 2,492.0000 "," -   "," -   "," 177,786.00 ",0.559651833151211
"36",37,67,401,"Winston-Salem",80788.719,22.403002,0.28009894,0.30625629,0.088334657,32929.6923880824,51025.0642969173,0.15568399,0.10745753,0.096561097,0.5872587,0.26485869,0.1191291,0.015609785,0.24345958,0.67392558,0.063425779,0.0094373645,3.5147295,727.06824,0.37660408,0.25205928,0.32340801,0.31939802,0.63386452,79.809242,-0.005471136,859.17151,749.89148,0.0044379127,401.98065,"Forsyth-b",10,"y",67,"Forsyth",0.5298," 94,185.0000 ",0.4261," 75,751.0000 ",0.0301," 5,358.0000 ",0.014," 2,492.0000 "," -   "," -   "," 177,786.00 ",0.559651833151211
"37",37,69,1701,"Raleigh",67995.898,35.653008,0.13888277,0.15386114,0.043361355,26486.9300987549,45184.5337435457,0.14732976,0.12051395,0.12864576,0.6347515,0.27166399,0.078787178,0.0037731065,0.27854145,0.66548097,0.043888472,0.0025469346,2.9828007,654.13025,0.28570998,0.22847475,0.26755682,0.17133109,0.63755822,82.11409,0.069775619,123.28903,96.119034,0.0067642052,52.686493,"Franklin",4,"",69,"Franklin",0.4239," 12,874.0000 ",0.539," 16,368.0000 ",0.0256," 777.0000 ",0.0097," 296.0000 "," 0.0017 "," 53.0000 "," 30,368.00 ",0.560617469879518
"38",37,71,800,"Gastonia",71345.734,25.755632,0.14268126,0.17979321,0.046856489,29469.1477788136,46534.6582931398,0.16587661,0.10561891,0.099896751,0.75846976,0.15897247,0.059203438,0.0084688105,0.13040309,0.8224197,0.02935585,0.0070211617,3.1624961,696.63556,0.34473938,0.21681975,0.29503456,0.23612364,0.61976373,81.678955,0.047371272,578.85425,535.02917,0.0022020349,257.78317,"Gaston",5,"",71,"Gaston",0.3233," 31,177.0000 ",0.6409," 61,798.0000 ",0.0254," 2,445.0000 ",0.0091," 873.0000 "," 0.0014 "," 138.0000 "," 96,431.00 ",0.427094405256547
"39",37,73,2000,"Virginia Beach",61620.941,37.664284,0.10461904,0.10469796,0.0058776084,23383.3584487989,54140.215954743,0.20373712,0.17125405,0.15653197,0.62999099,0.34188735,0.014183816,0.0012298106,0.39707258,0.58231008,0.0076434435,0.0017646616,3.8710454,636.17749,0.37467507,0.18744251,0.26518723,0.18389124,0.53955799,83.468834,0.10957763,35.826637,30.888983,0.0047469945,14.360617,"Gates",1,"",73,"Gates",0.4423," 2,385.0000 ",0.533," 2,874.0000 ",0.02," 108.0000 ",0.0046," 25.0000 "," -   "," -   "," 5,392.00 ",0.731543624161074
"40",37,75,1202,"Sylva",48863.457,25.631723,0.11325416,0.13052396,0.020661341,16927.8557424713,35963.6844599932,0.19591019,0.19344385,0.24946357,0.89628708,0.0033856223,0.021893691,0.00304706,0.0026405544,0.9161877,0.0074282992,0.0016080464,3.4884655,582.65442,0.26199126,0.15612555,0.19524635,0.54226679,0.51067108,82.271896,NA,30.337683,27.365885,-0.018674303,10.202719,"Graham",11,"",75,"Graham",0.1839," 739.0000 ",0.7882," 3,167.0000 ",0.0177," 71.0000 ",0.0102," 41.0000 "," -   "," -   "," 4,018.00 ",0.376833283448069
